observation,code,regex,refactoring,accuracy
18,M5R1V0_CCC,R1,CCC,0.4
19,M5R1V0_CCC,R1,CCC,1
20,M5R1V0_CCC,R1,CCC,0.4
21,M5R1V0_CCC,R1,CCC,1
22,M5R1V0_CCC,R1,CCC,1
23,M5R1V0_CCC,R1,CCC,0.8
24,M5R1V0_CCC,R1,CCC,0.8
25,M5R1V0_CCC,R1,CCC,0.8
26,M5R1V0_CCC,R1,CCC,1
27,M5R1V0_CCC,R1,CCC,0.4
28,M5R1V0_CCC,R1,CCC,0.8
29,M5R1V0_CCC,R1,CCC,1
30,M5R1V0_CCC,R1,CCC,1
1,M5R1V1_RNG,R1,RNG,1
2,M5R1V1_RNG,R1,RNG,1
3,M5R1V1_RNG,R1,RNG,0.8
4,M5R1V1_RNG,R1,RNG,1
5,M5R1V1_RNG,R1,RNG,0.8
6,M5R1V1_RNG,R1,RNG,0.8
7,M5R1V1_RNG,R1,RNG,1
8,M5R1V1_RNG,R1,RNG,1
9,M5R1V1_RNG,R1,RNG,1
10,M5R1V1_RNG,R1,RNG,0.8
11,M5R1V1_RNG,R1,RNG,1
12,M5R1V1_RNG,R1,RNG,1
13,M5R1V1_RNG,R1,RNG,1
14,M5R1V1_RNG,R1,RNG,1
15,M5R1V1_RNG,R1,RNG,1
16,M5R1V1_RNG,R1,RNG,1
17,M5R1V1_RNG,R1,RNG,1
18,M5R1V1_RNG,R1,RNG,0.8
19,M5R1V1_RNG,R1,RNG,0.8
20,M5R1V1_RNG,R1,RNG,1
21,M5R1V1_RNG,R1,RNG,0.8
22,M5R1V1_RNG,R1,RNG,1
23,M5R1V1_RNG,R1,RNG,1
24,M5R1V1_RNG,R1,RNG,0.8
25,M5R1V1_RNG,R1,RNG,1
26,M5R1V1_RNG,R1,RNG,0.6
27,M5R1V1_RNG,R1,RNG,1
28,M5R1V1_RNG,R1,RNG,1
29,M5R1V1_RNG,R1,RNG,1
30,M5R1V1_RNG,R1,RNG,1
1,M5R1V2_OR,R1,OR,1
2,M5R1V2_OR,R1,OR,1
3,M5R1V2_OR,R1,OR,0.8
4,M5R1V2_OR,R1,OR,1
5,M5R1V2_OR,R1,OR,1
6,M5R1V2_OR,R1,OR,1
7,M5R1V2_OR,R1,OR,1
8,M5R1V2_OR,R1,OR,1
9,M5R1V2_OR,R1,OR,1
10,M5R1V2_OR,R1,OR,1
11,M5R1V2_OR,R1,OR,1
12,M5R1V2_OR,R1,OR,1
13,M5R1V2_OR,R1,OR,0.8
14,M5R1V2_OR,R1,OR,0.75
15,M5R1V2_OR,R1,OR,0.6
16,M5R1V2_OR,R1,OR,1
17,M5R1V2_OR,R1,OR,1
18,M5R1V2_OR,R1,OR,1
19,M5R1V2_OR,R1,OR,1
20,M5R1V2_OR,R1,OR,1
21,M5R1V2_OR,R1,OR,1
22,M5R1V2_OR,R1,OR,1
23,M5R1V2_OR,R1,OR,0.75
24,M5R1V2_OR,R1,OR,1
25,M5R1V2_OR,R1,OR,1
26,M5R1V2_OR,R1,OR,1
27,M5R1V2_OR,R1,OR,1
28,M5R1V2_OR,R1,OR,0.8
29,M5R1V2_OR,R1,OR,0.8
30,M5R1V2_OR,R1,OR,0.8
