Age,Education,Familiarity,Gender,Experience,cleanNComposed,cleanNRead
48,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,20,50
28,Bachelors degree,Somewhat familiar,Male,NA,20,100
38,Some college no degree,Very familiar,Male,Yes,100,50
26,Bachelors degree,Somewhat familiar,Female,Yes,25,100
21,Associates degree,Somewhat familiar,Male,Yes,0,NA
35,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,10,100
53,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,0,0
22,Some college no degree,Somewhat familiar,Male,Yes,25,50
21,Some college no degree,Not familiar at all,Male,No,0,0
30,Some college no degree,Somewhat familiar,Male,Yes,100,100
31,Bachelors degree,Somewhat familiar,Male,Yes,100,800
24,Bachelors degree,Very familiar,Male,Yes,100,500
25,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Female,Yes,10,10
NA,Bachelors degree,Very familiar,Male,Yes,10,10
20,Some college no degree,Somewhat familiar,Male,Yes,5,10
20,Some college no degree,Very familiar,Male,Yes,0,10
59,Associates degree,Somewhat familiar,Male,Yes,100,200
31,Bachelors degree,Very familiar,Female,Yes,200,400
24,Bachelors degree,Very familiar,Male,Yes,365,1000
21,Some college no degree,Very familiar,Male,Yes,25,12
33,Some High School,Somewhat familiar,Male,Yes,0,0
31,Bachelors degree,Somewhat familiar,Male,Yes,10,5
19,Some college no degree,Somewhat familiar,Female,Yes,20,0
39,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,2,200
43,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,1,1
30,Bachelors degree,Somewhat not familiar,Female,Yes,100,500
36,Bachelors degree,Very familiar,Male,Yes,50,10
43,Bachelors degree,Somewhat familiar,Male,Yes,50,5
49,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,3,5
33,Bachelors degree,Somewhat familiar,Male,No,0,0
22,Some college no degree,Somewhat familiar,Male,Yes,100,500
33,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,30,10
25,Bachelors degree,Very familiar,Male,Yes,100,500
56,Bachelors degree,Somewhat familiar,Female,Yes,10,20
24,Bachelors degree,Somewhat familiar,Male,Yes,20,50
21,Some college no degree,Very familiar,Male,Yes,0,20
30,Bachelors degree,Very familiar,Secret,Yes,150,20
30,Bachelors degree,Somewhat familiar,Male,Yes,50,100
34,Bachelors degree,Very familiar,Male,Yes,20,10
35,Bachelors degree,Very familiar,Male,Yes,10,20
30,Some college no degree,Somewhat familiar,Male,Yes,50,100
38,Some college no degree,Somewhat familiar,Male,No,2,4
32,Bachelors degree,Somewhat familiar,Male,Yes,5,20
21,Bachelors degree,Somewhat familiar,Male,Yes,50,200
27,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,50,100
22,Bachelors degree,Somewhat familiar,Male,Yes,NA,NA
33,Associates degree,Somewhat familiar,Male,Yes,0,12
21,Some college no degree,Somewhat familiar,Male,Yes,25,50
36,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,5,5
29,Bachelors degree,Somewhat familiar,Female,Yes,0,0
28,Bachelors degree,Very familiar,Male,Yes,NA,NA
43,Associates degree,Not familiar at all,Female,No,0,0
55,Bachelors degree,Somewhat familiar,Male,Yes,25,200
29,Associates degree,Not familiar at all,Male,No,0,0
32,Bachelors degree,Somewhat familiar,Female,No,40,6
27,Graduate degree (Masters Doctorate etc.),Very familiar,Male,Yes,50,50
32,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,12,12
33,Some college no degree,Not sure,Male,Yes,5,1
21,Some college no degree,Somewhat familiar,Male,Yes,5,0
19,Some college no degree,Somewhat familiar,Male,Yes,NA,NA
20,Associates degree,Somewhat not familiar,Secret,No,10,10
33,Some college no degree,Somewhat familiar,Male,Yes,100,30
47,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,0,30
37,Some college no degree,Somewhat familiar,Male,Yes,2,10
38,Some college no degree,Somewhat familiar,Male,Yes,30,100
35,Bachelors degree,Somewhat familiar,Male,Yes,100,40
19,Some college no degree,Very familiar,Secret,Yes,100,30
21,Bachelors degree,Somewhat familiar,Male,Yes,10,NA
31,Graduate degree (Masters Doctorate etc.),Very familiar,Male,Yes,100,20
27,Some college no degree,Very familiar,Male,Yes,1000,1000
22,Some college no degree,Not sure,Female,Yes,NA,NA
30,Bachelors degree,Very familiar,Male,Yes,10,20
34,Bachelors degree,Very familiar,Male,Yes,20,50
24,Bachelors degree,Somewhat not familiar,Female,Yes,70,30
35,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,20,0
31,Bachelors degree,Very familiar,Male,Yes,30,5
22,Some college no degree,Somewhat not familiar,Male,No,0,0
52,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Female,Yes,10,50
26,Graduate degree (Masters Doctorate etc.),Somewhat not familiar,Male,Yes,0,50
28,Bachelors degree,Somewhat familiar,Female,Yes,1000,2000
25,Bachelors degree,Somewhat familiar,Male,Yes,5,15
31,Bachelors degree,Somewhat familiar,Male,Yes,0,10
18,Some High School,Somewhat familiar,Male,Yes,0,0
26,Bachelors degree,Somewhat familiar,Male,Yes,40,100
36,Bachelors degree,Somewhat familiar,Male,Yes,100,50
26,Bachelors degree,Somewhat familiar,Male,Yes,10,50
23,Bachelors degree,Very familiar,Male,Yes,10,5
20,Some college no degree,Somewhat familiar,Male,Yes,10,20
40,Some college no degree,Somewhat familiar,Male,Yes,20,12
53,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Female,No,5,20
20,Some college no degree,Somewhat familiar,Male,Yes,10,20
31,Bachelors degree,Somewhat familiar,Male,Yes,50,20
27,Bachelors degree,Somewhat familiar,Male,Yes,15,100
25,Bachelors degree,Somewhat familiar,Male,Yes,10,100
38,Some High School,Not familiar at all,Male,No,0,0
32,Some college no degree,Somewhat familiar,Male,No,100,1000
