observation,string,abstract,node,accuracy
25,M1R1V1_DEFAULT,A5,C4,0.8
26,M1R1V1_DEFAULT,A5,C4,1
27,M1R1V1_DEFAULT,A5,C4,1
28,M1R1V1_DEFAULT,A5,C4,1
29,M1R1V1_DEFAULT,A5,C4,1
30,M1R1V1_DEFAULT,A5,C4,0.4
1,M1R2V0_CCC,A6,C2,1
2,M1R2V0_CCC,A6,C2,0.6
3,M1R2V0_CCC,A6,C2,0.4
4,M1R2V0_CCC,A6,C2,0.6
5,M1R2V0_CCC,A6,C2,1
6,M1R2V0_CCC,A6,C2,1
7,M1R2V0_CCC,A6,C2,1
8,M1R2V0_CCC,A6,C2,1
9,M1R2V0_CCC,A6,C2,0.6
10,M1R2V0_CCC,A6,C2,0.6666666667
11,M1R2V0_CCC,A6,C2,0.6
12,M1R2V0_CCC,A6,C2,1
13,M1R2V0_CCC,A6,C2,1
14,M1R2V0_CCC,A6,C2,1
15,M1R2V0_CCC,A6,C2,1
16,M1R2V0_CCC,A6,C2,1
17,M1R2V0_CCC,A6,C2,NA
18,M1R2V0_CCC,A6,C2,0.6
19,M1R2V0_CCC,A6,C2,0.6
20,M1R2V0_CCC,A6,C2,1
21,M1R2V0_CCC,A6,C2,0.6
22,M1R2V0_CCC,A6,C2,0.8
23,M1R2V0_CCC,A6,C2,1
24,M1R2V0_CCC,A6,C2,0.6
25,M1R2V0_CCC,A6,C2,0.8
26,M1R2V0_CCC,A6,C2,0.6
27,M1R2V0_CCC,A6,C2,1
28,M1R2V0_CCC,A6,C2,1
29,M1R2V0_CCC,A6,C2,1
30,M1R2V0_CCC,A6,C2,1
1,M1R2V1_DEFAULT,A6,C4,1
2,M1R2V1_DEFAULT,A6,C4,NA
3,M1R2V1_DEFAULT,A6,C4,1
4,M1R2V1_DEFAULT,A6,C4,0.8
5,M1R2V1_DEFAULT,A6,C4,1
6,M1R2V1_DEFAULT,A6,C4,1
7,M1R2V1_DEFAULT,A6,C4,1
8,M1R2V1_DEFAULT,A6,C4,1
9,M1R2V1_DEFAULT,A6,C4,0.8
10,M1R2V1_DEFAULT,A6,C4,0.8
11,M1R2V1_DEFAULT,A6,C4,1
12,M1R2V1_DEFAULT,A6,C4,1
13,M1R2V1_DEFAULT,A6,C4,1
14,M1R2V1_DEFAULT,A6,C4,1
15,M1R2V1_DEFAULT,A6,C4,1
16,M1R2V1_DEFAULT,A6,C4,1
17,M1R2V1_DEFAULT,A6,C4,0.4
18,M1R2V1_DEFAULT,A6,C4,1
19,M1R2V1_DEFAULT,A6,C4,0.6
20,M1R2V1_DEFAULT,A6,C4,1
21,M1R2V1_DEFAULT,A6,C4,0.8
22,M1R2V1_DEFAULT,A6,C4,1
23,M1R2V1_DEFAULT,A6,C4,0.8
24,M1R2V1_DEFAULT,A6,C4,1
25,M1R2V1_DEFAULT,A6,C4,0.8
26,M1R2V1_DEFAULT,A6,C4,1
27,M1R2V1_DEFAULT,A6,C4,1
28,M1R2V1_DEFAULT,A6,C4,1
29,M1R2V1_DEFAULT,A6,C4,1
30,M1R2V1_DEFAULT,A6,C4,1
1,M2R0V0_RNG,A7,C1,0.8
2,M2R0V0_RNG,A7,C1,1
3,M2R0V0_RNG,A7,C1,1
4,M2R0V0_RNG,A7,C1,1
5,M2R0V0_RNG,A7,C1,1
6,M2R0V0_RNG,A7,C1,0.5
7,M2R0V0_RNG,A7,C1,1
8,M2R0V0_RNG,A7,C1,1
9,M2R0V0_RNG,A7,C1,1
10,M2R0V0_RNG,A7,C1,1
11,M2R0V0_RNG,A7,C1,0.6
12,M2R0V0_RNG,A7,C1,1
13,M2R0V0_RNG,A7,C1,0.2
